ID,Date,Month,Category,Description,Amount,PaymentStatus,DueDate,PaidDate,ImageUrl,CreatedAt,UpdatedAt,SlipUrl,DueDay
EXP-20260430-232059-766,2026-04-30,2026-04,รายจ่ายเรื่องรถ,ค่า B-Quick,1785,Paid,,4/30/2026,https://drive.google.com/file/d/1lHCQsAtvkvgPg1fd1oWWAonDrvkOJKP5/view?usp=drivesdk,4/30/2026 23:20:59,4/30/2026 23:21:42,,
EXP-20260430-232535-973,2026-04-30,2026-04,ค่าใช้จ่ายอื่นๆ,"บัตรเซ็นทรัล 
เติมน้ำมันรถยาริส",1500,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/1w1-TwnZmclqSb5Y4-1M8Slh_R6ADJmse/view?usp=drivesdk,4/30/2026 23:25:35,5/2/2026 10:30:47,,
EXP-20260430-232821-993,2026-04-30,2026-04,ค่ารถยนต์ Yaris,ค่าผ่อนรถยนต์ประจำเดือน,9059,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/1HJlLV7LFAcRG5o_QEosdeNqXgG_M2In7/view?usp=drivesdk,4/30/2026 23:28:21,5/2/2026 10:30:15,,
EXP-20260430-232954-439,2026-04-30,2026-04,ให้แม่,ให้แม่,4000,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/1eItTHcnXXx9lYQqlbL7rJi4wY4vZBQ_6/view?usp=drivesdk,4/30/2026 23:29:55,5/2/2026 10:27:32,,
EXP-20260501-000632-480,2026-04-30,2026-04,รายเดือนภรรยา,รายเดือนภรรยา,10000,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/1YZXNEmTH7vkm-cnJQn9suV1Vp2qCHZEZ/view?usp=drivesdk,5/1/2026 0:06:32,5/2/2026 10:29:37,,
EXP-20260501-103820-924,2026-05-01,2026-05,Home Pro Credit card,บัตรเครดิต โฮมโปร,527.5,Paid,2026-05-02,5/1/2026,https://drive.google.com/file/d/1sxKF_SiLEOS2u9YXP6oicRvzHdr41LpJ/view?usp=drivesdk,5/1/2026 10:38:20,5/1/2026 10:42:24,https://drive.google.com/file/d/1o682zKjo8lJ5VdzXcmGokPhZ2Kdw7778/view?usp=drivesdk,
EXP-20260501-111813-957,2026-05-01,2026-05,ค่าใช้จ่ายอื่นๆ,Accessories รถลูมิ ใน Shopee โอนมาที่ฉัน ฉันจ่ายแล้ว ,1321,Paid,2026-05-01,5/1/2026,https://drive.google.com/file/d/1dNjxD24q_yTt1nmeHIa1cWlnDgwUpSTQ/view?usp=drivesdk,5/1/2026 11:18:13,5/1/2026 13:15:20,https://drive.google.com/file/d/12HcgVVBjj9XRYaZiQrFgBjtYmJ0AwFRy/view?usp=drivesdk,
EXP-20260501-111814-967,2026-04-30,2026-04,ค่าผ่อนคอนโด,ค่าผ่อนคอนโด,11000,Paid,2026-04-30,2026-05-02,https://drive.google.com/file/d/11REAztUyuKtU1Af5tHbqMPaNJbSiSkAZ/view?usp=drivesdk,5/1/2026 11:18:14,5/2/2026 10:33:31,https://drive.google.com/file/d/1QrRGSt5NkM8JxJ8bSu6X-1DXVE-FzouH/view?usp=drivesdk,
EXP-20260502-103542-123,2026-04-30,2026-04,ค่าไฟบ้านที่นนทบุรี,ค่าไฟบ้านที่นนทบุรี,4029.88,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/1qYRl2y7__ApB3wL8aRP4NqDjS-P7uAhi/view?usp=drivesdk,5/2/2026 10:35:43,5/2/2026 10:35:43,,
EXP-20260502-110138-554,2026-04-30,2026-04,ค่าไฟบ้านแม่,ค่าไฟบ้านแม่,207.09,Paid,2026-04-30,2026-05-30,https://drive.google.com/file/d/1bGoSzr71CQBVb6t6H83xeglQzK-wBuSI/view?usp=drivesdk,5/2/2026 11:01:38,5/2/2026 11:01:38,,
EXP-20260502-111415-622,2026-04-30,2026-04,TTB Credit Card,บัตรเครดิต TTB,540,Paid,2026-04-30,2026-04-30,https://drive.google.com/file/d/13D4xQ8qXGzJ8toL2zYUUQEXg6YSJCT82/view?usp=drivesdk,5/2/2026 11:14:16,5/2/2026 11:14:16,,
